Codigo_Arma,Nome_Item,Descricao_Item,Proficiencia,Tipo_Arma,Empunhadura_Arma,Dano_Arma,Dano-Arma_Sec,Critico_Arma,Multiplicador_Arma,Tipo_Dano_Arma,Alcance_Item,Categoria_Item,Espaços_Item,Agil?,Capacidade_Municao,dt_item,Automatica?,Elemento_Arma,Fonte_Arma,Especial_Arma
1,"Punhos Enraivecidos","Um par de soqueiras feitas de um metal vermelho vivo e gravado com vários símbolos de Sangue.
Seus ataques desarmados passam a causar 1d8 pontos de dano de Sangue. Sempre que acerta um ataque desarmado, pode fazer outro ataque desarmado contra o mesmo alvo, pagando 2 PE por cada ataque já realizado no turno. Ou seja, pode fazer o primeiro ataque extra gastando 2 PE, um segundo ataque extra gastando mais 4 PE e assim por diante, até errar um ataque ou não ter mais pontos de esforço.",Armas Simples,Corpo a Corpo,Leve,1d8,,20,2,Sangue,,II,1,,,,,Sangue,OPRPG,"Os valores dessa arma na aba de ataque apenas substituem as informações do Golpe Desarmado. Os efeitos desse item fazem com que o poder Artista Marcial seja anulado, então msm que vc tenha o poder, o item sobrepoe ele. Esse dano de sangue é letal."
2,Arcabuz dos Moretti,"Uma arma muito antiga, reminiscente do século XV, mas que de alguma forma ainda se mantém funcionando perfeitamente, apesar das rachaduras que cercam toda a superfície do objeto e emitem uma suave luz rosada do interior de suas fissuras. Em seu cabo de madeira está gravado um selo contendo a letra M.
O arcabuz fornece +2 em testes de ataque e não precisa de munição. Sempre que dispara esta arma, o usuário deve rolar 1d6 junto com o teste de ataque. O resultado do d6 define qual o dano da arma nesse disparo: 1) 2d4, 2) 2d6, 3) 2d8, 4) 2d10, 5) 2d12, 6) 2d20.",Armas Simples,Armas de Fogo,Uma Mão,Veja Texto,,20,3,Balístico,Curto,II,1,,,,,Energia,OPRPG,"Essa arma da +2 no campo de Ataque Bonus por default. o Veja Texto dela precisa ficar. Fazer o dano médio ser apenas ""Veja Texto"" também."
3,"Fuzil Alheio","Entre elas, armas paranormais adquiridas por agentes de limpeza após a derrota de alguns desses monstros de “outro mundo”.
Esta arma é um fuzil de precisão com mira telescópica e mira laser, que causa dano de Energia e não precisa de munição.",Armas Táticas,Armas de Fogo,Duas Mãos,2d10,,19,3,Energia,Longo,IV,2,,,,,Energia,SaH,Essa arma vem com duas modificações de fábrica: mira telescópica e mira laser (código de modificação 10 e 11). 
4,"A Antena","Uma antena parabólica encaixada em uma das extremidades de um bastão de ferro. Apesar da aparência estranha, este item maldito transmite medo primal. Conta como uma arma improvisada (–1d20 em testes de ataque).
Seu verdadeiro potencial só se revela nas mãos de um conjurador de rituais. A DT de seus rituais aumenta em +3. Além disso, você pode conjurar um ritual na Antena. O ritual não faz efeito na hora; em vez disso, fica contido nela. Você pode gastar uma ação padrão para libertar o ritual e gerar o efeito dele (sem precisar gastar ações de conjuração ou PE). A Antena só pode conter um ritual por vez.",Armas Simples,Corpo a Corpo,Duas Mãos,1d6,,20,2,Impacto,,IV,2,,,,,Medo,AS,"É uma arma improvisada. aumenta a DT de todos os rituais em +3. Precisa ter um botão similar ao de munição, aonde voce clica para selecionar um dos rituais que voce conhece e coloca-lo como ""munição"" dela. Só pode ter 1 ritual nela por vez."
5,"Arpão do Pescador","Um arpão de pesca rústico, sujo de sangue originado de um pacto com o Diabo. Pode ser arremessado.
Se acertar um ataque de arremesso com o arpão, você dificulta a movimentação do alvo. Ele fica lento até remover o arpão de seu corpo, o que exige gastar uma ação padrão e passar em um teste de Atletismo (DT For).",Armas Simples,Corpo a Corpo,Uma Mão,1d8,1d12,20,3,Perfuração/Sangue,Curto,III,1,,,"Atletismo, FOR",,Sangue,AS,
6,Dupla Obsessiva (Maça),"Maça e florete. Essa dupla de armas enferrujadas parecem não conseguir ficar longe uma da outra, obcecadas por si mesmas e seu único propósito: proteger aqueles que amam com fervor.
A maça é uma arma tática corpo a corpo e de uma mão. Ela causa 2d4 pontos de dano de perfuração mais 1d6 pontos de dano de Sangue, multiplicado em caso de acerto crítico, e tem crítico 20/x3.
Se estiver empunhando as duas armas, pode gastar uma ação padrão para realizar dois ataques, um com cada arma. Além disso, se um aliado em alcance curto de você for alvo de um ataque, você pode gastar 2 PE como reação para se tornar o alvo do ataque. Se fizer isso e a fonte do ataque estiver em alcance corpo a corpo, você pode gastar 2 PE para atacar a fonte com a maça.
",Arma Tática,Corpo a Corpo,Uma Mão,2d4,1d6*,20,3,Perfuração/Sangue,,III,2,,,,,Sangue,AS,"Pegar essa arma puxa automaticamente a arma amaldiçoada de código 7, mas apenas uma conta no limite de itens por categoria. Elas sempre precisam ficar uma em baixo da outra na aba de combate, independente da ordem alfabetica."
7,Dupla Obsessiva (Florete),"Maça e florete. Essa dupla de armas enferrujadas parecem não conseguir ficar longe uma da outra, obcecadas por si mesmas e seu único propósito: proteger aqueles que amam com fervor.
O florete é uma arma tática ágil corpo a corpo e de uma mão. Ela causa 1d6 pontos de dano de perfuração mais 2d4 pontos de dano de Sangue, multiplicado em caso de acerto crítico, e tem crítico 18/x2.
Se estiver empunhando as duas armas, pode gastar uma ação padrão para realizar dois ataques, um com cada arma. Além disso, se um aliado em alcance curto de você for alvo de um ataque, você pode gastar 2 PE como reação para se tornar o alvo do ataque. Se fizer isso e a fonte do ataque estiver em alcance corpo a corpo, você pode gastar 2 PE para atacar a fonte com a maça.
",Arma Tática,Corpo a Corpo,Uma Mão,1d6,2d4*,18,2,Perfuração/Sangue,,III,2,TRUE,,,,Sangue,AS,"Pegar essa arma puxa automaticamente a arma amaldiçoada de código 6, mas apenas uma conta no limite de itens por categoria. Elas sempre precisam ficar uma em baixo da outra na aba de combate, independente da ordem alfabetica."
8,"Faca Predadora","Uma faca de cabo escuro ornamentada com várias ondas em sua lâmina. É uma arma ágil e pode ser arremessada.
Quando ataca com esta arma, você pode gastar 2 PE. Se fizer isso e acertar o ataque, você recupera 2d10 PV. Qualquer ponto de vida recuperado que exceda seus PV máximos se torna pontos de vida temporários.",Armas Simples,Corpo a Corpo,Uma Mão,1d4,2d10,19,3,Perfuração/Sangue,Curto,IV,1,TRUE,,,,Sangue,AS,
9,Machado do Mutilador,"Uma arma com cabo de madeira e lâmina vermelha que já deu fim a diversas vítimas, ela anseia por mais sangue.
O dano extra de Sangue causado por essa arma é multiplicado em caso de crítico. Além disso, quando atinge uma vítima, você pode gastar 1 PE para deixá-la sangrando; esse efeito é cumulativo, ou seja, ela pode ficar sangrando várias vezes simultaneamente (perdendo 1d6 PV para cada sangramento).",Armas Táticas,Corpo a Corpo,Uma Mão,1d8,1d8*,20,3,Corte/Sangue,,IV,1,,,,,Sangue,AS,
10,Manoplas do Colosso,"Um par de manoplas trabalhadas em metal e imbuídas com uma violenta onda de Energia. Cada manopla é uma arma diferente, que causa dano individualmente, mas elas só funcionam se usadas em par. Além disso, todas as regras e efeitos de ataque desarmado se aplicam às Manoplas —, mas efeitos que aumentam o dado de dano desarmado como o poder Artista Marcial não modificam o dano delas.",Armas Táticas,Corpo a Corpo,Duas Mãos,1d6,1d10,20,2,Impacto/Energia,,IV,2,,,,,Energia,AS,
