Codigo_Ritual,Nome_Ritual,Link_Imagem,Link_Imagem2,Link_Imagem3,Link_Imagem4
1,Alterar Destino,,,,
2,Alterar Memória,https://www.dropbox.com/scl/fi/mfphweq6q13fxmrrhz47w/Alterar-Mem-ria.png?rlkey=5gy5ylzrjiozf1ik2psal4us5&st=eh9z2udt&dl=0,,,
3,Amaldiçoar Arma,https://www.dropbox.com/scl/fi/swv2sdgbxvoljo5nst9u4/Amaldi-oar-Arma-com-Sangue.png?rlkey=5p6azdaybi30pnlv6swqutnx5&st=39k5x5gq&dl=0,https://www.dropbox.com/scl/fi/kuc6xa4t4ozuguo2ck241/Amaldi-oar-Arma-com-Morte.png?rlkey=65fjkfqzfxfzmrkl9bkb4y2kj&st=8mz3a2ez&dl=0,,
4,Amaldiçoar Tecnologia,https://www.dropbox.com/scl/fi/6aylwyyhshrkisz2kvozz/Amaldi-oar-Tecnologia.png?rlkey=mqcuzzk4r2zzpgccy1mn31y9i&st=ml77d322&dl=0,,,
5,Âncora Temporal,https://www.dropbox.com/scl/fi/6yj2hvm4hck3p68aknpub/ncora-Temporal.png?rlkey=qwbbemw6vkequm3gw2n8d2ois&st=hbunkkz8&dl=0,,,
6,Aprimorar Físico,https://www.dropbox.com/scl/fi/5dhae8qatorxen4vv4fdq/F-sico-Aprimorado.png?rlkey=m18024b3eeuodumaffo66kj7m&st=ewr4614q&dl=0,,,
7,Aprimorar Mente,https://www.dropbox.com/scl/fi/rzw2v107po022289ucyps/Aprimoramento-Mental.png?rlkey=tfomiqw6zk4g1dsqdr6esmeo1&st=h7jkbc34&dl=0,,,
8,Arma Atroz,,,,
9,Armadura de Sangue,https://www.dropbox.com/scl/fi/m7ec9rz5dtgnjafbs1deo/Armadura-de-Sangue.png?rlkey=8nh2bs9gqdsnfcyn9ihid6l44&st=g1fu0ipz&dl=0,,,
10,Canalizar o Medo,,,,
11,Capturar o Coração,,,,
12,Chamas do Caos,https://www.dropbox.com/scl/fi/pyvpq3owgb6awac0h05tl/Chamas-do-Caos.png?rlkey=sh57h85998ol9azjriid2xdty&st=yc5y6hnw&dl=0,,,
13,Cicatrização,https://www.dropbox.com/scl/fi/mnhtgr4108nu4h8qxgb6z/Cicatriza-o.png?rlkey=p0dwcc21sjgfdjkifbvp2wpgr&st=yhazqogp&dl=0,,,
14,Cinerária,https://www.dropbox.com/scl/fi/873bdzu2blz517gabuevx/Ciner-ria.png?rlkey=d9md94dnxtw98sxitt2x79ieb&st=c5pd0jj3&dl=0,,,
15,Coincidência Forçada,https://www.dropbox.com/scl/fi/2edoe11175vz5i3ly804v/Coincid-ncia-For-ada.png?rlkey=q07kvk3e85aqbx26mm1fcjobx&st=tc0seumg&dl=0,,,
16,Compreensão Paranormal,https://www.dropbox.com/scl/fi/wjb16vn433d6vvjxvg9cw/Compreens-o-Paranormal.png?rlkey=iy0jfgd3qpftvolubu0pt7hwm&st=kxwe4rqp&dl=0,,,
17,Conhecendo o Medo,,,,
18,Consumir Manancial,https://www.dropbox.com/scl/fi/1x8z2ud6h848qqm1yzvdb/Consumir-Manacial.png?rlkey=ukapl1wz629urz6rwsqx3w2f5&st=vun7iimn&dl=0,,,
19,Contato Paranormal,https://www.dropbox.com/scl/fi/09es8n5g757qun4k7vhu6/Contato-Paranormal.png?rlkey=a6eghncwwum0zyckadzuybj3s&st=g6m7jgs3&dl=0,,,
20,Contenção Fantasmagórica,,,,
21,Controle Mental,https://www.dropbox.com/scl/fi/7hidwpz4t1uoynhafls3k/Controle-mental-absor-o.png?rlkey=k3jfa4jhwvsmges56wc0wmje7&st=y0ux4l5c&dl=0,https://www.dropbox.com/scl/fi/jx7k05ykj1sw69govzixy/Controle-Mental-emiss-o.png?rlkey=8apr308bck94obb8qdvkxbe8a&st=mi3fkmrs&dl=0,,
22,Convocação Instantânea,https://www.dropbox.com/scl/fi/egrp7hpgu7yq0ee61pt1y/Convoca-o-Instant-nea.png?rlkey=w5u2mtu8qm3jutrngksdowzyf&st=p4irgae9&dl=0,,,
23,Convocar o Algoz,,,,
24,Corpo Adaptado,https://www.dropbox.com/scl/fi/ypvykmhax3uhhwjzkfq3g/Corpo-Adaptado.png?rlkey=s5bcwqxd4jd200yrvfusewm0w&st=o7w1xkpj&dl=0,,,
25,Decadência,https://www.dropbox.com/scl/fi/vc3r2ntofi4tu12zqkfxn/Decad-ncia.png?rlkey=balka0jgg29878ocjihk9g2zt&st=eimwulzs&dl=00,,,
26,Definhar,https://www.dropbox.com/scl/fi/7o01tk59jhxo7ot0dvwzu/Definhar.png?rlkey=jxiofnscnaj45liilo3emo4uo&st=rmoyhcr7&dl=0,,,
27,Deflagração de Energia,,,,
28,Desacelerar Impacto,https://www.dropbox.com/scl/fi/cahbv0pfdmbh3337lw37i/Desacelerar-Impacto.png?rlkey=70gtdsaznvpg2pvwyiusiw582&st=ubg0sxf0&dl=0,,,
29,Descarnar,https://www.dropbox.com/scl/fi/9to9xbil7qeegzyea1elf/Descarnar.png?rlkey=wflhn0j6qhu703gfqghjac41n&st=dhw3rz4a&dl=0,,,
30,Detecção de Ameaças,,,,
31,Dissipar Ritual,,,,
32,Dissonância Acústica,,,,
33,Distorção Temporal,https://www.dropbox.com/scl/fi/lj2xtbghz68swz9e2msfe/Distor-o-Temporal.png?rlkey=i48o6wu7vmp9bozhtr644qg80&st=lyn7c3iu&dl=0,,,
34,Distorcer Aparência,https://www.dropbox.com/scl/fi/dv4dpstoi22x9qar7mvcu/Distorcer-Apar-ncia.png?rlkey=747iwh8ook2tsj0ygzjwo9qiy&st=ehvc905p&dl=0,,,
35,Eco Espiral,https://www.dropbox.com/scl/fi/6lucrx8pwgquw4zfqlja2/Eco-Espiral.png?rlkey=879fprxaqchx28q7iflfr6xe8&st=9lixcuw6&dl=0,,,
36,Eletrocussão,https://www.dropbox.com/scl/fi/21rerhnlut82j48l8h496/Eletrocuss-o.png?rlkey=3b3t3pyz198phcah9szl8qiz8&st=2mbv7rqy&dl=0,,,
37,Embaralhar,,,,
38,Enfeitiçar,https://www.dropbox.com/scl/fi/gr3eaqm2jl1w6w4fobqi1/Enfeiti-ar.png?rlkey=akivoz8z859wnzumtlcck0vbt&st=ukvuqp60&dl=0,,,
39,Esconder dos Olhos,https://www.dropbox.com/scl/fi/izh8kw9uxqztpxq7a8zzb/Esconder-dos-Olhos.png?rlkey=ab7myeni807493lwyus9s8k2n&st=dgtejy9c&dl=0,,,
40,Espirais da Perdição,https://www.dropbox.com/scl/fi/wjl02p72svlchgw0wiy0z/Espirais-da-Perdi-o.png?rlkey=lsqxcot1597bd8xukt22r0oo6&st=hdt87i9v&dl=0,,,
41,Ferver Sangue,,,,
42,Fim Inevitável,,,,
43,Flagelo de Sangue,,,,
44,Forma Monstruosa,https://www.dropbox.com/scl/fi/2c9qkyv5fc8vkawvr5ov9/Forma-Monstruosa.png?rlkey=h1pyjvgt16dnyz2oc9q29db4g&st=z2gh486e&dl=0,,,
45,Fortalecimento Sensorial,https://www.dropbox.com/scl/fi/7t43ty9h8dsfmcawv5szm/Fortalecimento-Sensorial.png?rlkey=terpoc1gwo1o3s19rikef9hnt&st=1ixrnahi&dl=0,,,
46,Hemofagia,https://www.dropbox.com/scl/fi/qexyk7sj0b0qy2xevlhgv/Hemofagia.png?rlkey=be7lj86dapmqc1djotb6kuox8&st=o5h8xdyl&dl=0,,,
47,Inexistir,https://www.dropbox.com/scl/fi/pkvo07br0j0jidvuq1ayo/Inexistir.png?rlkey=9m7wggrkzxihzaxlx36qvysnu&st=390d1o3n&dl=0,,,
48,Invólucro de Carne,https://www.dropbox.com/scl/fi/t59exjqqc3yhha2802nbs/Inv-lucro-de-Carne.png?rlkey=zn60ltxz953da02zqptog9tuv&st=qn53q4o2&dl=0,,,
49,Lâmina do Medo,,,,
50,Localização,https://www.dropbox.com/scl/fi/xs10xtasr3cs3krnjo5bw/Localiza-o.png?rlkey=m2jgt3v97dn6uf3tqlzxufcgb&st=n2lmsprd&dl=0,,,
51,Invadir Mente,,,,
52,Luz,https://www.dropbox.com/scl/fi/7gcn1hu2w2rlyqrjh0hob/Luz.png?rlkey=z6evup2gua357la9ljd0fm716&st=svg3xyxc&dl=0,,,
53,Medo Tangível,,,,
